"","DF$name","Sieges","V1","Name1","Nat1","SiegeOb1","Perc1","V2","Name2","Nat2","SiegeOb2","Perc2","V3","Name3","Nat3","SiegeOb3","Perc3","V4","Name4","Nat4","SiegeOb4","Perc4","V5","Name5","Nat5","SiegeOb5","Perc5","V6","Name6","Nat6","SiegeOb6","Perc6","V7","Name7","Nat7","SiegeOb7","Perc7","V8","Name8","Nat8","SiegeOb8","Perc8","V9","Name9","Nat9","SiegeOb9","Perc9","V10","Name10","Nat10","SiegeOb10","Perc10","V11","Name11","Nat11","SiegeOb11","Perc11","V12","Name12","Nat12","SiegeOb12","Perc12","V13","Name13","Nat13","SiegeOb13","Perc13","V14","Name14","Nat14","SiegeOb14","Perc14","V15","Name15","Nat15","SiegeOb15","Perc15"
"126","منزل المهيري",18,828,"Ennahdha","Liste partisane",6,"11.70%",497,"Alqayimat Almustaqilat Alshabab W Altanmya","Liste indépendante",3,"18.07%",435,"Alwifaq Liltanmya","Liste indépendante",3,"15.81%",338,"Qayimat Al'Iinqadh Lilaamal Albaladii","Liste indépendante",2,"12.29%",331,"Nidaa Tounes","Liste partisane",2,"30.10%",322,"Al'Amal","Liste indépendante",2,"12.03%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","بوحجلة",30,1872,"Ennahdha","Liste partisane",9,"12.34%",1412,"Nidaa Tounes","Liste partisane",6,"16.10%",1039,"Al'Iirada","Liste indépendante",5,"9.53%",796,"Front Populaire","Liste de coalition",4,"11.13%",718,"Rada Al'Ietibar","Liste indépendante",3,"29.01%",615,"Alaitilaf Almadani Almustaqil Bibouhajla","Liste indépendante",3,"21.88%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","القيروان",36,7541,"Ennahdha","Liste partisane",15,"5.19%",3495,"Nidaa Tounes","Liste partisane",7,"7.79%",1537,"Courant Démocrate","Liste partisane",3,"2.26%",1458,"Union Civile","Liste de coalition",3,"6.58%",1337,"AL IRADA","Liste partisane",3,"3.83%",1231,"Li'Ihya' Alkayrawan","Liste indépendante",2,"7.15%",971,"Front Populaire","Liste de coalition",2,"8.22%",716,"Min Ajl Alqayrawan","Liste indépendante",1,"40.31%",423,"Akhyar Altayar","Liste indépendante",0,"18.68%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","‫رقادة‬",18,843,"Ennahdha","Liste partisane",5,"8.61%",656,"Machrouu Tounes","Liste partisane",4,"17.92%",592,"Nidaa Tounes","Liste partisane",4,"29.62%",510,"Alkarama","Liste indépendante",3,"23.05%",245,"Front Populaire","Liste de coalition",2,"20.80%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","سيسب الدريعات",24,1401,"Ennahdha","Liste partisane",10,"13.45%",916,"Nidaa Tounes","Liste partisane",7,"7.86%",455,"Al'Iiqlae","Liste indépendante",3,"10.22%",346,"Courant Démocrate","Liste partisane",2,"41.40%",266,"Sysib Alkubraa","Liste indépendante",2,"27.07%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","‫السبیخة‬",24,1818,"Nidaa Tounes","Liste partisane",7,"4.28%",1369,"Ennahdha","Liste partisane",5,"8.03%",1145,"Alzzitouna","Liste indépendante",5,"11.86%",728,"Alsbikha Amal","Liste indépendante",3,"18.65%",493,"Al Ayn Alssahra","Liste indépendante",2,"22.30%",322,"Mouvement Du Peuple","Liste partisane",1,"5.25%",263,"Front Populaire","Liste de coalition",1,"29.62%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","‫الوسلاتية‬",24,1040,"Nidaa Tounes","Liste partisane",5,"9.63%",1000,"Parti Destourien Libre Pdl","Liste partisane",5,"19.81%",977,"Alwesalatyya Tajmaouna","Liste indépendante",5,"12.55%",821,"Ennahdha","Liste partisane",4,"16.65%",619,"Awfya' Weslat","Liste indépendante",3,"21.09%",475,"Al'Amana","Liste indépendante",2,"20.28%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","‫العلا‬",24,1493,"Ennahdha","Liste partisane",9,"17.88%",970,"Nidaa Tounes","Liste partisane",6,"35.88%",954,"Machrouu Tounes","Liste partisane",5,"22.93%",744,"Iirada Wa Amal","Liste indépendante",4,"23.31%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","‫حفوز‬",24,1953,"Ennahdha","Liste partisane",9,"4.38%",1447,"Albina' Waltanmya","Liste indépendante",6,"12.35%",685,"Nidaa Tounes","Liste partisane",3,"8.66%",676,"Al'Amal Liljamye","Liste indépendante",3,"26.43%",474,"Al'Iishraq","Liste indépendante",2,"35.67%",240,"Front Populaire","Liste de coalition",1,"12.51%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","عين جلولة",12,767,"Ennahdha","Liste partisane",6,"5.40%",303,"Alnasr","Liste indépendante",3,"20.73%",174,"Afek Tounes","Liste partisane",1,"11.90%",139,"Nidaa Tounes","Liste partisane",1,"52.46%",79,"Al Ikhtiyar Al'Afdhal","Liste indépendante",1,"9.51%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","‫عبيدة‬",18,1588,"Albaladeya Liljamii'","Liste indépendante",9,"48.49%",728,"Ennahdha","Liste partisane",4,"15.42%",505,"Mutatawioun Litanmyt Abida","Liste indépendante",3,"22.23%",454,"Nidaa Tounes","Liste partisane",2,"13.86%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","الشبيكة",18,1436,"Ennahdha","Liste partisane",7,"18.34%",849,"Nidaa Tounes","Liste partisane",4,"8.21%",713,"Alwifaq","Liste indépendante",3,"36.94%",570,"Machrouu Tounes","Liste partisane",3,"14.66%",319,"Amal Alshbika","Liste indépendante",1,"21.84%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","عين البيضاء",24,4402,"Ennahdha","Liste partisane",10,"32.45%",3432,"Courant Démocrate","Liste partisane",8,"41.62%",2194,"Nidaa Tounes","Liste partisane",5,"5.19%",549,"Mouvement Du Peuple","Liste partisane",1,"20.74%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","شواشي",18,753,"Ennahdha","Liste partisane",7,"9.49%",582,"Machrouu Tounes","Liste partisane",5,"37.02%",506,"Nidaa Tounes","Liste partisane",4,"28.61%",193,"Ithad Al'Ahrar","Liste indépendante",2,"24.88%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","‫جلمة‬",18,1699,"Ennahdha","Liste partisane",6,"16.41%",915,"Zitouna","Liste indépendante",3,"11.07%",913,"Nidaa Tounes","Liste partisane",3,"18.03%",833,"Front Populaire","Liste de coalition",3,"3.03%",562,"Alfawz W Aleamal","Liste indépendante",2,"33.47%",154,"AL IRADA","Liste partisane",1,"17.99%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","باطن الغزال",18,646,"Min Ajl Al'Abyadh","Liste indépendante",5,"14.74%",465,"Ennahdha","Liste partisane",3,"9.09%",444,"Nidaa Tounes","Liste partisane",3,"26.09%",365,"Al'Amal","Liste indépendante",3,"5.45%",225,"Alairtiqa","Liste indépendante",2,"18.78%",196,"Parti Destourien Libre Pdl","Liste partisane",1,"17.93%",135,"AL IRADA","Liste partisane",1,"7.92%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","سبالة أولاد عسكر",18,1309,"Ennahdha","Liste partisane",5,"15.43%",783,"Nidaa Tounes","Liste partisane",3,"3.29%",667,"Albildyt Liljamye","Liste indépendante",3,"14.23%",615,"Alwifaq","Liste indépendante",3,"10.69%",462,"Qayimat Alshabab Almustaqili","Liste indépendante",2,"7.96%",344,"Sawt Alshabab","Liste indépendante",1,"30.29%",142,"Alsubalat Tajamaena","Liste indépendante",1,"18.12%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","سيدي بوزيد",30,2737,"Nidaa Tounes","Liste partisane",9,"8.81%",2710,"Ennahdha","Liste partisane",9,"4.67%",880,"Front Populaire","Liste de coalition",3,"2.20%",745,"Nhebek Ya Biladi","Liste indépendante",2,"2.87%",727,"Courant Démocrate","Liste partisane",2,"7.45%",664,"Mouvement Du Peuple","Liste partisane",2,"1.91%",467,"Union Civile","Liste de coalition",2,"7.27%",366,"Parti Socialiste","Liste partisane",1,"27.12%",287,"Khudh Haqak","Liste indépendante",0,"6.64%",220,"Alwird","Liste indépendante",0,"27.39%",191,"AL IRADA","Liste partisane",0,"3.66%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","سيدي علي بن عون",18,938,"Sidi Eali Bin Eawn Almustaqila","Liste indépendante",7,"40.64%",700,"Ennahdha","Liste partisane",6,"10.75%",422,"Nidaa Tounes","Liste partisane",3,"30.33%",248,"AL IRADA","Liste partisane",2,"18.28%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","بئر الحفي",24,1108,"Ahrar Biir Alhafii","Liste indépendante",6,"25.14%",799,"Ennahdha","Liste partisane",4,"11.25%",669,"Mouvement Du Peuple","Liste partisane",4,"7.03%",496,"Aleamal","Liste indépendante",3,"10.73%",473,"Nas Alkhyr","Liste indépendante",3,"1.70%",310,"Aleazymat W Aleamal Litahqyq Al'Amal","Liste indépendante",2,"18.13%",261,"Nidaa Tounes","Liste partisane",1,"15.18%",217,"Parti Socialiste","Liste partisane",1,"5.92%",75,"AL IRADA","Liste partisane",0,"4.92%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","‫الرقاب‬",24,3178,"Ennahdha","Liste partisane",9,"10.99%",2095,"Nidaa Tounes","Liste partisane",6,"4.40%",902,"Front Populaire","Liste de coalition",3,"5.98%",736,"Altahadiy","Liste indépendante",2,"8.97%",491,"Alriqab Amana","Liste indépendante",2,"5.38%",441,"Altanmya Haqina","Liste indépendante",1,"38.74%",361,"Ahrar Alriqab","Liste indépendante",1,"25.54%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","المكناسي",18,1097,"Ennahdha","Liste partisane",4,"14.10%",813,"Mouvement Du Peuple","Liste partisane",3,"4.48%",759,"Nidaa Tounes","Liste partisane",3,"4.78%",705,"Front Populaire","Liste de coalition",2,"11.82%",591,"Almiknasi Aljadida","Liste indépendante",2,"8.40%",420,"Syd Alkhanq","Liste indépendante",1,"3.04%",239,"Almiknasi 'Amana","Liste indépendante",1,"21.94%",224,"Alhayat","Liste indépendante",1,"16.26%",152,"AL IRADA","Liste partisane",1,"15.18%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","منزل بوزيان",24,1201,"Alwahdat Lighad 'Afdal","Liste indépendante",4,"13.84%",972,"Alwafa","Liste indépendante",4,"3.90%",952,"Front Populaire","Liste de coalition",4,"5.44%",882,"Ennahdha","Liste partisane",3,"14.13%",839,"Hayat Karyma","Liste indépendante",3,"17.46%",670,"Nidaa Tounes","Liste partisane",2,"12.20%",374,"Altumuh","Liste indépendante",1,"3.46%",305,"Parti Socialiste","Liste partisane",1,"12.82%",268,"Altahadiy","Liste indépendante",1,"9.74%",238,"Qayimat Manzil Bouzayan","Liste indépendante",1,"4.43%",178,"حركة الدیمقراطیین الاجتماعیین","Liste partisane",0,"2.59%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","‫المنصورة‬",12,575,"Ennahdha","Liste partisane",5,"33.04%",418,"Union Civile","Liste de coalition",4,"21.50%",272,"AL IRADA","Liste partisane",3,"45.45%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","‫سعيدة‬",18,1610,"Nidaa Tounes","Liste partisane",6,"7.49%",965,"Ennahdha","Liste partisane",4,"9.42%",622,"Amalu Almustaqbal","Liste indépendante",2,"4.83%",435,"Aljyl Aljadid Ala Altaryq Alsahyh","Liste indépendante",2,"13.47%",418,"Sawt Aljiha","Liste indépendante",2,"9.05%",346,"Al'Amal","Liste indépendante",1,"20.89%",223,"Alshabab Alssaeid Bialsaeyda","Liste indépendante",1,"34.86%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","سوق الجديد",18,1627,"Albadar","Liste indépendante",6,"2.50%",782,"Ennahdha","Liste partisane",3,"10.21%",658,"L'Initiative","Liste partisane",2,"5.91%",527,"Al'Amal","Liste indépendante",2,"31.53%",458,"Nidaa Tounes","Liste partisane",2,"6.10%",359,"Iyd Wahida","Liste indépendante",1,"6.96%",315,"Alsumud","Liste indépendante",1,"15.16%",305,"Alaintisar Limabadi Alshahyd","Liste indépendante",1,"12.75%",129,"Al'Ahrar","Liste indépendante",0,"8.88%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","‫مزونة‬",18,1140,"Nidaa Tounes","Liste partisane",5,"6.65%",1118,"Altaqadum","Liste indépendante",5,"11.76%",904,"Ennahdha","Liste partisane",4,"25.54%",515,"Almuzawinat Almuahada","Liste indépendante",2,"3.06%",291,"Albyan","Liste indépendante",1,"5.37%",235,"AL IRADA","Liste partisane",1,"20.65%",134,"Qayimat 'Amal","Liste indépendante",0,"0.94%",41,"Machrouu Tounes","Liste partisane",0,"26.04%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","‫بنور‬",18,878,"Nidaa Tounes","Liste partisane",6,"16.48%",662,"Ennahdha","Liste partisane",4,"14.19%",453,"Al'Ahrar","Liste indépendante",3,"24.09%",390,"Al'Iiqlae","Liste indépendante",3,"13.28%",365,"Mouvement Du Peuple","Liste partisane",2,"31.95%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","أولاد حفوز",18,1311,"Alaintilaqa","Liste indépendante",5,"28.16%",808,"Ennahdha","Liste partisane",3,"9.47%",526,"Altghyyr","Liste indépendante",2,"7.00%",441,"Albidyl Alshababi","Liste indépendante",2,"11.30%",440,"Alyd Albyda' Likhidmat Aldueafa","Liste indépendante",2,"9.45%",403,"Thya 'Awlad Hafuz","Liste indépendante",2,"8.66%",400,"Watani","Liste indépendante",1,"8.59%",326,"Aleamal W Almuatina","Liste indépendante",1,"17.36%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","‫رحال‬",12,632,"Nidaa Tounes","Liste partisane",5,"7.04%",454,"Parti Socialiste","Liste partisane",4,"13.27%",292,"Alnnour","Liste indépendante",3,"10.86%",239,"Altahadiy","Liste indépendante",2,"2.27%",221,"Ennahdha","Liste partisane",2,"10.04%",158,"Machrouu Tounes","Liste partisane",1,"7.18%",155,"Al'Amal","Liste indépendante",1,"28.71%",50,"Qayimat Almustaqbal","Liste indépendante",0,"20.63%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","الأحواز لسودة",18,692,"Najmat Alwasat","Liste indépendante",6,"11.54%",664,"Ennahdha","Liste partisane",5,"30.95%",434,"Nidaa Tounes","Liste partisane",3,"29.70%",258,"Al'Ahrar","Liste indépendante",2,"8.41%",188,"Mouvement Du Peuple","Liste partisane",2,"19.41%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","الحبيب ثامر",18,2216,"Ennahdha","Liste partisane",10,"12.27%",896,"AL IRADA","Liste partisane",4,"22.25%",494,"Farsan Altahadi","Liste indépendante",2,"55.03%",421,"Nidaa Tounes","Liste partisane",2,"10.45%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","منزل الحبيب",18,1260,"Ennahdha","Liste partisane",8,"25.26%",676,"Al Wifaq","Liste indépendante",5,"8.52%",512,"Nidaa Tounes","Liste partisane",3,"47.09%",228,"Almustaqbal","Liste indépendante",2,"19.13%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","‫وذرف‬",18,1401,"Iislah Almasar","Liste indépendante",7,"12.15%",1179,"Ennahdha","Liste partisane",6,"37.33%",717,"Nidaa Tounes","Liste partisane",3,"31.41%",456,"Al'Iiqlae","Liste indépendante",2,"19.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","الحامة",30,3094,"Ennahdha","Liste partisane",14,"9.41%",1374,"Alhamat Awalaan","Liste indépendante",6,"20.72%",908,"AL IRADA","Liste partisane",4,"13.69%",631,"Nidaa Tounes","Liste partisane",3,"46.66%",624,"Al'Iiqlae","Liste indépendante",3,"9.52%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","مطماطة الجديدة",12,375,"Ennahdha","Liste partisane",5,"22.06%",300,"Qayimat Al'Iimtyaz","Liste indépendante",4,"31.81%",208,"Ahbak Ya Watani","Liste indépendante",2,"39.77%",60,"Nidaa Tounes","Liste partisane",1,"6.36%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","‫مطماطة‬",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","‫كتانة‬",18,973,"Ennahdha","Liste partisane",9,"13.48%",497,"Nidaa Tounes","Liste partisane",5,"10.32%",260,"Min Ajl Altanmiya","Liste indépendante",2,"50.44%",199,"Qayimat Almustaqbal","Liste indépendante",2,"25.76%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","دخيلة توجان",18,1301,"Ennahdha","Liste partisane",11,"8.11%",565,"Nidaa Tounes","Liste partisane",5,"7.34%",179,"Tawjan - Madynati","Liste indépendante",1,"58.95%",162,"Afek Tounes","Liste partisane",1,"25.60%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","‫مارث‬",24,2006,"Ennahdha","Liste partisane",11,"13.61%",1169,"Mouvement Du Peuple","Liste partisane",6,"4.60%",633,"Marith Awalan","Liste indépendante",3,"43.14%",628,"Nidaa Tounes","Liste partisane",3,"25.14%",214,"AL IRADA","Liste partisane",1,"13.51%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","عين دراهم",18,1221,"Nidaa Tounes","Liste partisane",7,"25.25%",1126,"Ennahdha","Liste partisane",6,"35.86%",793,"Front Populaire","Liste de coalition",5,"38.89%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","طبرقة‎",24,1547,"Ennahdha","Liste partisane",8,"7.57%",1284,"Sawt Tbarka","Liste indépendante",6,"26.79%",684,"Nidaa Tounes","Liste partisane",3,"7.91%",379,"Tbarka Kif Ma Nhibouha","Liste indépendante",2,"4.01%",363,"Front Populaire","Liste de coalition",2,"32.28%",344,"Mouvement Du Peuple","Liste partisane",2,"7.18%",192,"Courant Démocrate","Liste partisane",1,"14.27%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
